index,comment_id,text
12429,17911021657044212,"Олимпийские игры давно перестали быть соревнованием - они стали политеческой площадкой. Если твоя страна не может отстоять это право участия, когда всё сфабриковано, то и у спортсмена есть полное право выступать под нейтральным флагом. Легко сказать:""байкотируйте"", когда спортсмены кладут на это жизнь, жертвуя всем. Не едут на игры - теряют контракты, деньги, время"
39741,18021701092023456,"Когда я начинаю с ним работать, то возлагаю надежду на стильность, а по итогу чувствую некую строгость и брутальность. И это чаще всего противоречет концепции моего альбома. Поэтому у меня уже внушительная стопочка обложек из кожзама, которую я вновь и вновь откладываю в сторону🙃. @vikabiryza @tytelka10 @liza_lem @yurate_poderega @pilatyuliya"
43685,17861405575542508,"@kristi_richie многие мастера берут предоплату и ее типа не отдают и не делают процедуру, если человек опаздал. Но в принципе - это дикость. В конечном итоге, такие мастера  нарываются на такого же наглого клиента, который если его разозлить может за процедуру вообще не заплатить. :)"
17898,17897630548199056,"@ya_budu_mamoj прочистили плохо и не только меня но ещё многих девчонок и прочищали второй раз, т.к температура держалась и лейкоциты повышены были выписывать не хотели и сказали пить антибиотики но я писала записку чтоб выписали и лома лечилась средствами чтоб не прекращать кормление, а при зашивание заморозку ввели а она не подействовала и только с третьего раза меня услышали и говорят и правда не подействовала...могу много писать"
44130,17863055221526988,"@khabirovradii дорога была отсыпана щебнем, но это только ухудшило ситуацию (так как лесовозы разбивают дорогу и одиночные камни попадают под колёса), лично я там только потерял два колеса, а они нынче не дешевые, я уже не говорю про облезающие пороги🤦🏻‍♂️"
19014,17953085068033424,"Для меня маникюр это не лак, а прежде всего здоровые ухоженые руки и ногти. Предпочитаю аппаратный маникюр. Идеал - люксио деликейт, он божественный. А вцелом люблю однотонные. Красный - классика на все времена и случаи. У Вас, Елена, очень красивый маникюр. Я бы тоже такой выбрала💖"
12573,17884061323175062,"Если чувств нет, то ничего не поделаешь. Я с бывшим мужем пыталась 3 месяца развестись, 5 лет вместе и последние пол года выжимала из него хорошее отношение к себе, а когда стало отвратительно находиться рядом, он вспомнил что любит... Тогда и глаза открылись с кем живу.."
26922,17976040018063688,"Закончила муж школу ,думала идти в консерваторию - родители отсоветовали ,после 11 кл хотела поступать на ин.яз.начала готовится ,родители  сказали кем потом будешь ,учителем ? . Сказали давай в ж/д универ ,там потом и работа хорошая будет ... кое-как закончила ибо я не технарь ,очень было тяжко ... в итоге всю жизнь работаю менеджером по продажам 😂😂😂"
8210,17881424455112712,"@akusherka_dzamilya и вот это ""сама"", ""не сама"" причина переживаний очень многих женщин. В этом кроются особенности их последующего взаимодействия с ребенком и становления их материнства. И женщинам очень нужна и важна тут поддежка, а Ваш пост провокационный, точнее его ""тон"". Кто-то пройдет мимо, а кто-то ""выяснит"" что с точки зрения акушерства их оказывается ""родили"", и они вот себе типа лукавили... отсюда что? ""Я не смогла"" (хотя повторюсь,прокол такой момент, который практически невозможно предотвратить, так как не спрашивают). Но вот это ""я не смогла"" для многих свежеродивших (со скачущим гормональным фоном) и неуверенных пока еще матерях (с кучей тревог и вопросов) может стать для них дополнительным стрессовым фактором лишающим сил и уверенности."
54662,17902680139398332,"Здравствуйте! Моему сыну 11. Нет никаких соцсетей, только ватсап. И да, я начала одним глазом проверять его ватсап. Я тоже сторонница личного пространства и т.д. и т.п., но сын у меня один, также и доча, и лучше я сейчас (с его согласия) буду мониторить его общение и связи, чем он попадёт в плохую компанию или под чьё-либо дурное влияние. Знаю просто характер своего сына. Он мне разрешил, я просмотрела его чаты в ватсапе. Не говорю, что буду делать это постоянно. Но периодически буду. Считаю, что в инсте детям делать нечего. Но это моё мнение."
36229,17900677339274688,Боже! Раньше в советские времена можно было пойти в магазин купить себе любую книгу или взять в библиотеке. За читывался.  А сейчас чтобы её иметь нужно идти в ногу с интернетом.  Да !  А теперь не хочу старую жину хочу новую  есть книга. Хочу разбогатеть есть книга.хочу детей есть эко. Нам уже Бог сынов посылает напиши ты им книги.. а то нккогда им то к машине бегут то к станку/ компу/ то танцы и т .д.а кто нибудь подумал о Земле по которой идет .я желаю всем счастья благополучия.и Здравия помыслам вашим .
10075,17897774137069896,"@cupofherbaltea добрый день! Мы с мужем приезжаем в эту субботу в Черногорию, будем жить в Которе и на несколько дней едем в Жабляк. Честно говоря, не могу понять, какую одежду с собой брать. Не подскажете, какая примерно погода сейчас? В шортах уже не походишь наверно?"
13803,17902058554121284,"@mila_afanaseva как- то нашла в зале паука,такого средних размеров...решила отпустить на улицу через форточку.ну,иду к окну.решила показать ребятам по дороге.картина:два шрэка несутся с ором:Ты чё,***,****?!?!в противоположную от меня сторону 😁.долго потом меня игнорили😊"
47334,17859593818582816,"Да любая мама хочет лучшего для своего ребенка и иногда она ошибается, что там где-то лучшее не видя перед собой самое лучшее. Сама уходила от педагогов, но лишь по той причине, что действительно не видела развитие и не жалею, что ушла. Так в год прозанимались с педагогом в 3 года. Группа была сборная 3-12лет. В итоге дети выходили на сцену с сырым материалом. Ситуации бывают разные. Отпустите с миром. Придем мы, новые ученики, которые знают, стремятся к вам попасть и начать с вами работать. Т.к Вы настолько ювелирно это делаете, что других вариантов просто быть не может. Я думаю это скажет любой родитель и ученик, который с вами работал. Или слышал ваших детей. Один хор чего стоит. Слушаетев коридоре и мурашки бегут. А песня казалось бы обычная. 🤗А у той мамы может быть финансовые сложности, но гордость не позволяет в этом признаться. В жизни бывает все! Нужно уметь отпускать и прощать."
21905,17882386714225252,"Кстати я по Барнаулу на такси ездила всегда с дочкой, потому что 100-150 р из одного конца в другой это вообще копейки. Бабушки у подъезда знающие меня с детства испепеляли взглядом 😂 и спрашивали у моей бабушки, за кого ж я замуж так удачно вышла 😅🤦‍♀️"
54272,18084881455140388,"Тупые законы у нас!!! А если бы сам погиб из-за лося? Он же не специально его сбил!!! Лоси гуляют, лезут под коляса сами, люди страдают сколько от них, а потом ещё и штрафы платят. Ну а государству нашему лишь бы денег сорвать. Не с лося же бабло рвать, за переход в неположенном месте. 🤔"
